scope_id,family_id,family,subscope,system_object,disturbance_or_transition,primary_outcome,geometric_role,mathematical_art_role,evidence_state,selection_state,notes
MSR-SS-019,MSR-SF-004,"Water drainage coastal and blue-green systems","Blue-green infrastructure configuration","Wetlands swales parks roofs and drainage catchments","Intense rain heat drought or habitat fragmentation","Runoff heat biodiversity amenity and recovery","Spatial geometry connectivity and optimization","Participatory landscape alternatives","PARTIAL","SEARCH_SCOPE","Multi-benefit causality and maintenance are unresolved"
MSR-SS-020,MSR-SF-004,"Water drainage coastal and blue-green systems","Drought allocation and reservoir trajectories","Reservoir river aquifer demand and ecosystem states","Drought climate shift or demand surge","Water security ecological flow equity and recovery","Viability geometry optimal transport and control","Scenario trajectory and trade-off visualization","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Requires clear temporal resilience definition"
MSR-SS-021,MSR-SF-005,"Transportation mobility and evacuation networks","Carbon-aware multilayer routing","Road rail transit walking cycling or freight layers","Demand shift congestion disruption or policy transition","Emissions travel time load distribution and access","Optimal transport on multilayer networks","Flow-map and mode-shift animation","ANCHOR_PRESENT","SEARCH_SCOPE","Optimal transport is not itself proof of DG necessity"
MSR-SS-022,MSR-SF-005,"Transportation mobility and evacuation networks","Disruption and recovery topology","Transport links nodes services and travelers","Link loss hazard damage or cyber outage","Network efficiency accessibility and recovery","Graph topology and recovery-state geometry","Critical-path and recovery visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Behavior and distributional access need explicit treatment"
MSR-SS-023,MSR-SF-005,"Transportation mobility and evacuation networks","Equitable accessibility geometry","Destinations populations networks and time budgets","Service reduction displacement or land-use change","Access opportunity distribution and adaptive mobility","Metric geometry and spatial accessibility surfaces","Accessible isochrones and uncertainty encoding","PARTIAL","SEARCH_SCOPE","Normative access choices require stakeholder justification"
MSR-SS-024,MSR-SF-005,"Transportation mobility and evacuation networks","Evacuation flow and shelter choice","People routes vehicles shelters and information","Wildfire flood cyclone or conflict evacuation","Clearance safety equity and post-event mobility","Dynamic optimal transport crowd geometry and control","Evacuation trajectory animation","PARTIAL","SEARCH_SCOPE","Human behavior and ethics limit purely geometric models"
MSR-SS-025,MSR-SF-005,"Transportation mobility and evacuation networks","Freight and supply-corridor resilience","Ports terminals corridors fleets and inventories","Port closure infrastructure failure or demand shock","Emissions delivery continuity and recovery cost","Network geometry and flow redistribution","Sankey-like material and delay encoding","PARTIAL","SEARCH_SCOPE","Must separate logistics efficiency from system resilience"
MSR-SS-026,MSR-SF-006,"Circular material waste and industrial-ecology systems","Industrial symbiosis resilience","Facilities by-product exchanges and shared utilities","Partner failure demand change or contamination","Virgin-resource displacement emissions and exchange recovery","Network geometry and motif structure","Material-flow and failure propagation art","ANCHOR_PRESENT","SEARCH_SCOPE","Causal resource benefits and rebound require checking"
MSR-SS-027,MSR-SF-006,"Circular material waste and industrial-ecology systems","Closed-loop supply structural matching","Forward and reverse supply networks products and returns","Supplier disruption return variability or quality loss","Circularity emissions cost and structural robustness","Fused Gromov-Wasserstein transport","Structural-mismatch landscape","ANCHOR_PRESENT","SEARCH_SCOPE","Direct physical recovery evidence is incomplete"
MSR-SS-028,MSR-SF-006,"Circular material waste and industrial-ecology systems","Municipal collection and transfer geometry","Waste sources fleets transfer sites and facilities","Flood fuel shock road closure or demand surge","Collection continuity emissions exposure and recovery","Facility-location geometry routing and optimization","Material-flow map and service gaps","PARTIAL","SEARCH_SCOPE","Needs health equity and disturbance validation"
MSR-SS-029,MSR-SF-006,"Circular material waste and industrial-ecology systems","Sorting and disassembly shape intelligence","Products components materials and sorting systems","Composition drift contamination or equipment failure","Recovery yield energy use quality and adaptability","Shape descriptors geometric learning and inverse design","Explainable object-to-material encoding","PARTIAL","SEARCH_SCOPE","Classification accuracy alone is not sustainability"
MSR-SS-030,MSR-SF-006,"Circular material waste and industrial-ecology systems","Material-stock and urban-mining dynamics","Building and infrastructure stocks and recovery chains","Demolition disaster damage or demand transition","Reuse potential embodied carbon and supply recovery","Stock-flow state manifolds and optimal transport","Time-varying material-stock atlas","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Requires reliable composition and lifetime data"
MSR-SS-031,MSR-SF-007,"Ecological landscape biodiversity and restoration systems","Ecological niche geometry","Species resources environments and interaction niches","Environmental perturbation invasion or climate shift","Persistence coexistence and response","Niche geometry and perturbation directions","Niche-shape and response visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Intervention and sustainability valuation remain to be tested"
MSR-SS-032,MSR-SF-007,"Ecological landscape biodiversity and restoration systems","Ecosystem-state topology","Multivariate river lake forest or reef observations","Regime shift pollution disturbance or restoration","State transition detection recovery and rehabilitation","Topological data analysis and state-space geometry","Persistence and state-transition art","ANCHOR_PRESENT","SEARCH_SCOPE","TDA invariants require ecological interpretation and validation"
MSR-SS-033,MSR-SF-007,"Ecological landscape biodiversity and restoration systems","Landscape connectivity and services","Habitat patches corridors species and beneficiaries","Fragmentation land-use change fire or restoration","Connectivity ecosystem services and recovery","Graph and spatial geometry","Participatory connectivity maps","ANCHOR_PRESENT","SEARCH_SCOPE","Service provision and connectivity may not be causally aligned"
MSR-SS-034,MSR-SF-007,"Ecological landscape biodiversity and restoration systems","Restoration design under uncertainty","Sites interventions species processes and monitoring","Degradation extreme event or invasive species","Biodiversity carbon water and recovery trajectory","Shape optimization viability and adaptive design","Scenario and uncertainty visualization","PARTIAL","SEARCH_SCOPE","Requires long-term counterfactual validation"
MSR-SS-035,MSR-SF-007,"Ecological landscape biodiversity and restoration systems","Fire landscape and refuge geometry","Vegetation fuel mosaics habitats and communities","Wildfire drought and compound heat","Risk reduction habitat persistence carbon and recovery","Spatial tessellation percolation and front geometry","Fire-spread and refuge animation","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Trade-offs and Indigenous governance must be explicit"
MSR-SS-036,MSR-SF-008,"Food agriculture and coupled human-natural systems","Plant and root geometric phenotyping","Organs canopies root systems and growth trajectories","Drought heat nutrient stress or disease","Resource-use efficiency yield stability and recovery","Geometric morphometrics TDA and shape analysis","Growth-form and trait encoding","ANCHOR_PRESENT","SEARCH_SCOPE","Morphology-to-system sustainability bridge is incomplete"
MSR-SS-037,MSR-SF-008,"Food agriculture and coupled human-natural systems","Differential growth and crop form","Growing tissues organs and mechanical constraints","Environmental or developmental perturbation","Adaptive form productivity and material allocation","Differential geometry of growth and shape formation","Growth tensor and curvature visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Direct farm sustainability and resilience not established"
MSR-SS-038,MSR-SF-008,"Food agriculture and coupled human-natural systems","Agroecosystem configuration","Fields crops habitats water soils and management zones","Drought pest flood or market transition","Yield biodiversity soil water and recovery","Landscape geometry and multiobjective optimization","Participatory field-pattern design","PARTIAL","SEARCH_SCOPE","Needs multi-season intervention evidence"
MSR-SS-039,MSR-SF-008,"Food agriculture and coupled human-natural systems","Food-network decentralization","Producers processors distributors retailers and consumers","Node failure transport disruption or demand shock","Availability nutrition waste equity and recovery","Network geometry and flow redistribution","Food-flow and access visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Boundary choices and behavior strongly affect results"
MSR-SS-040,MSR-SF-008,"Food agriculture and coupled human-natural systems","Land-water-energy-food coupling","Catchments farms energy inputs markets and communities","Climate shock price shock or policy transition","Resource demand emissions food security and adaptation","Coupled state-space geometry and viability","Interactive nexus trade-off landscape","PARTIAL","SEARCH_SCOPE","Risk of over-broad system boundary and weak identifiability"
MSR-SS-041,MSR-SF-009,"Community service health and humanitarian logistics systems","Emergency service accessibility","Populations facilities transport and service capacities","Disaster surge outage displacement or epidemic","Timely equitable access and recovery","Hyperbolic or metric embeddings and accessibility geometry","Service-gap and uncertainty maps","PARTIAL","SEARCH_SCOPE","High-stakes validation privacy and bias controls required"
MSR-SS-042,MSR-SF-009,"Community service health and humanitarian logistics systems","Public-health resilience state representation","Community indicators institutions and health outcomes","Epidemic disaster heat or compound stress","Preparedness response recovery and equity","Hyperbolic embeddings and manifold learning","Hierarchical state and uncertainty visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Embedding quality is not causal or policy validity"
MSR-SS-043,MSR-SF-009,"Community service health and humanitarian logistics systems","Humanitarian relief network design","Suppliers hubs transport responders and affected people","Conflict disaster access loss or demand uncertainty","Delivery continuity emissions waste dignity and equity","Network optimization and optimal transport","Participatory logistics and needs visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Ethics and affected-community evidence are essential"
MSR-SS-044,MSR-SF-009,"Community service health and humanitarian logistics systems","Community-centered infrastructure restoration","Households services assets crews and dependencies","Multi-service outage and constrained recovery","Population service restoration and distributional recovery","Coupled restoration geometry and optimization","Community recovery trajectory view","ANCHOR_PRESENT","SEARCH_SCOPE","Community outcomes must not be represented by asset restoration alone"
MSR-SS-045,MSR-SF-009,"Community service health and humanitarian logistics systems","Refugee and displacement service adaptation","Mobile populations shelters services and host communities","Conflict hazard climate displacement or supply shock","Safety access resource use and adaptive capacity","Dynamic spatial geometry and optimal transport","Co-designed movement and service maps","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Protection privacy consent and harm risks are non-compensatory"
MSR-SS-046,MSR-SF-010,"Multiscale geometric design linking form function resources and recovery","Differentiable shape grammars","Parameterized forms programs and fabrication constraints","Design change manufacturing variation or damage","Performance resource use manufacturability and recoverability","Differentiable grammar and shape-space optimization","Generative mathematical form","ANCHOR_PRESENT","SEARCH_SCOPE","Focal paper lacks direct sustainability and resilience outcomes"
MSR-SS-047,MSR-SF-010,"Multiscale geometric design linking form function resources and recovery","Form-function-resource co-design","Geometry materials loads processes and life-cycle stages","Load change resource scarcity damage or climate stress","Material energy performance and recovery","Shape topology and Pareto-front geometry","Interactive Pareto-form atlas","PARTIAL","SEARCH_SCOPE","Requires commensurable outcomes and physical validation"
MSR-SS-048,MSR-SF-010,"Multiscale geometric design linking form function resources and recovery","Recovery-aware inverse design","Desired functions failure modes repair actions and forms","Damage component loss or degradation","Graceful degradation repairability and restored function","Inverse geometry differentiable simulation and viability","Failure-to-repair generative animation","PARTIAL","SEARCH_SCOPE","Must test against conventional resilient design"
MSR-SS-049,MSR-SF-010,"Multiscale geometric design linking form function resources and recovery","Fabrication-aware sustainable geometry","Forms tooling paths tolerances and material processes","Manufacturing variability supply constraint or reuse transition","Waste energy quality reuse and adaptability","Computational geometry and process-constrained optimization","Toolpath and waste visual encoding","PARTIAL","SEARCH_SCOPE","Production data and rebound effects required"
MSR-SS-050,MSR-SF-010,"Multiscale geometric design linking form function resources and recovery","Participatory mathematical design","Stakeholder values constraints scenarios and geometric alternatives","Climate or social transition and contested objectives","Legitimacy inclusion learning and implementable adaptation","Generative geometry and interpretable feasible sets","Co-created visual and physical models","PARTIAL","SEARCH_SCOPE","Art function needs empirical participation evaluation"
MSR-SS-051,MSR-SF-011,"Earth and climate-system dynamics extremes tipping and projection manifolds","Climate attractor geometry","High-dimensional atmosphere ocean and coupled model states","Internal variability forcing or regime shift","Dynamical understanding predictability and adaptation relevance","Attractor manifolds metrics and topology","State-space and trajectory visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Actionable resilience outcome is usually separate"
MSR-SS-052,MSR-SF-011,"Earth and climate-system dynamics extremes tipping and projection manifolds","Extreme-event pattern topology","Atmospheric rivers cyclones blocking or compound events","Extreme occurrence intensification or spatial shift","Detection forecast skill exposure and early action","Topological data analysis and geometric classification","Event-pattern and confidence encoding","ANCHOR_PRESENT","SEARCH_SCOPE","Forecast skill is not automatically resilience benefit"
MSR-SS-053,MSR-SF-011,"Earth and climate-system dynamics extremes tipping and projection manifolds","Tipping and bifurcation geometry","Climate subsystems feedbacks and control parameters","Forcing crossing thresholds or feedback change","Early warning avoided transition and adaptation time","Bifurcation theory attractors and stability geometry","Bifurcation landscape and uncertainty art","ANCHOR_PRESENT","SEARCH_SCOPE","False alarms and model structural uncertainty must be quantified"
MSR-SS-054,MSR-SF-011,"Earth and climate-system dynamics extremes tipping and projection manifolds","Climate-model projection manifolds","Ensemble simulations observations and scenario trajectories","Scenario forcing model error or distribution shift","Model adequacy uncertainty and decision robustness","Manifold learning optimal transport and information geometry","Ensemble geometry and uncertainty visualization","PARTIAL","SEARCH_SCOPE","Embedding stability and physical meaning require testing"
MSR-SS-055,MSR-SF-011,"Earth and climate-system dynamics extremes tipping and projection manifolds","Cross-scale climate-to-impact geometry","Climate states hazards exposures and local system responses","Compound climate hazard and cascading impact","Adaptation timing losses equity and recovery","Multiscale maps transport and coupled manifolds","Climate-to-impact narrative visualization","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Scale translation and causal attribution are critical"
MSR-SS-056,MSR-SF-012,"Urban morphology spatial planning heat accessibility and land-use resilience","Street-network resilient form","Street blocks intersections routes and services","Link loss flood earthquake or land-use change","Connectivity access evacuation and recovery","Graph and spatial morphology","Network-form and failure visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Street metrics need outcome validation"
MSR-SS-057,MSR-SF-012,"Urban morphology spatial planning heat accessibility and land-use resilience","Urban heat form geometry","Buildings canyons surfaces vegetation and populations","Heatwave warming or power outage","Thermal exposure energy demand equity and passive survivability","Surface geometry spatial fields and flow-aware morphology","Thermal-form and uncertainty visualization","PARTIAL","SEARCH_SCOPE","Causal intervention evidence and behavior needed"
MSR-SS-058,MSR-SF-012,"Urban morphology spatial planning heat accessibility and land-use resilience","Land-use compactness and transition","Parcels activities transport and service distributions","Growth densification decline or climate migration","Resource demand emissions access and adaptability","Spatial metrics optimal transport and shape optimization","Scenario morphologies","ANCHOR_PRESENT","SEARCH_SCOPE","Metric proliferation and geographic bias documented"
MSR-SS-059,MSR-SF-012,"Urban morphology spatial planning heat accessibility and land-use resilience","Blue-green urban morphology","Built form vegetation water corridors and public space","Flood heat biodiversity loss or redevelopment","Cooling runoff habitat access and recovery","Landscape geometry connectivity and multiobjective design","Co-designed urban form and benefit layers","PARTIAL","SEARCH_SCOPE","Maintenance displacement and distributional effects require study"
MSR-SS-060,MSR-SF-012,"Urban morphology spatial planning heat accessibility and land-use resilience","Adaptive accessibility and service location","Residents facilities land uses and multimodal travel fields","Service closure demographic shift or hazard disruption","Equitable access redundancy and recovery","Metric geometry isochrones and facility-location optimization","Interactive access and recovery atlas","PARTIAL","SEARCH_SCOPE","Normative thresholds and affected-population validation required"
